Year,Spawner,Run,a0.2,a1.1,a0.3,a1.2,a2.1,a1.3,a2.2,a1.4,a2.3,a3.2,a2.4,a3.3,cv_N,cv_E,cv_H,efn
1996,10845,15403,,,,0.005,,0.012,0.031,0.002,0.91,0.015,,0.024,,0.01,0.1,100
1997,2431,5608,,,,,,,,,,,,,,0.12,0.1,0
1998,,,,,,,,,,,,,,,,0.01,0.1,0
1999,3450,5842,,,,,,,,,,,,,,0.14,0.1,0
2000,,,,,,,,,,,,,,,,0.19,0.1,0
2001,9973,13665,0,,0,0.004,0,0.158,0.018,0,0.817,0,0.004,0,,0.01,0.1,100
2002,4012,7744,,,,,,,0.3125,,0.625,,0.0625,,,0.01,0.1,100
2003,42729,44136,,,,0.036290321,,0.052419353,0.612903237,,0.294354826,,0.004032258,,,0.01,0.1,100
2004,84130,92162,,,,0.05610561,0.00330033,0.15676567,0.435643554,0.004950495,0.339933991,,0.00330033,,,0.01,0.1,100
2005,54842,63286,,,0.00141844,0.05957447,,0.13333334,0.448226959,,0.353191495,,0.004255319,,,0.01,0.1,100
2006,50894,61270,0.0014,,,0.1453,,0.2877,0.1058,,0.4584,,0.0014,,,0.01,0.1,100
2007,41354,51950,,,,0.0421,,0.7313,0.0444,,0.1799,,0.0023,,,0.01,0.1,100
2008,19363,24550,,,,,,0.482,0.009036144,0.006024096,0.5,,0.003012048,,,0.01,0.1,100
2009,948,2591,,,,0.020172911,,0.195965424,0.037463978,0.36887607,0.296829969,,0.080691643,,,0.01,0.1,100
2010,1630,2454,,,,0.059259258,0.002469136,0.032098766,0.06666667,,0.824691355,,0.014814815,,,0.01,0.1,100
2011,9117,10727,,,,0.009478673,,0.786729872,0.009478673,0.009478673,0.180094793,,0.004739337,,,0.05,0.1,100
2012,7810,9232,,,,0.067226894,,0.163865551,0.415966392,0.063025214,0.277310938,,0.012605042,,,0.09,0.1,100
2013,11621,16851,,,,0.013043478,,0.221739128,0.195652172,0.004347826,0.539130449,0.004347826,0.008695652,0.013043478,,0.01,0.1,100
2014,9203,12120,,,,0.411111116,,0.111111112,0.107407406,,0.34074074,,0.018518519,0.011111111,,0.01,0.1,100
2015,32123,45966,,,,0.08219178,,0.547945201,0.073059358,,0.296803653,,,,,0.01,0.1,100
2016,12195,24335,,,0.007843138,0.1015625,,0.47265625,0.32421875,,0.09375,,,,,0.01,0.1,100
2017,53830,66254,,,,0.015564202,,0.073929958,0.143968865,0.007782101,0.66536963,,0.089494161,0.003891051,,0.01,0.1,100
2018,36334,48715,,,,0.150684938,,0.284246564,0.277397275,,0.284246564,,0.003424658,,,0.07,0.1,100
2019,30149,42458,,,,0.023809524,,0.242063493,0.428571433,,0.297619045,0.003968254,,0.003968254,,0.11,0.1,100
2020,13679,21433,,,,0.031620555,,0.059288539,0.126482219,0.003952569,0.739130437,,0.011857707,0.027667984,,0.08,0.1,100
2021,4504,6397,,0.006493506,,0.142857149,,0.149350643,0.370129883,,0.272727281,0.012987013,,0.045454547,,0.14,0.1,100
2022,1486,2147,,,,0.006849315,,0.280821919,0.12328767,0.006849315,0.547945201,,0.020547945,0.01369863,,0.06,0.1,100
2023,1686,2082,,,,0.262499988,,0.231250003,0.21875,,0.28125,,0.00625,,,0.01,0.1,100
2024,34670,40653,,,,0.03,,0.69,0.18,,0.1,,,,,0.02,0.1,100
